Age,Gender,Married,Salary,Annual Spend
57.3,Male,Married,59195.87,2752.96
26.1,Male,Single,33265.52,606.72
24.7,Female,Single,23814.67,1686.19
31.6,Female,Single,24234.93,
29.5,Male,Single,28794.06,697.46
59,Male,Married,62668.89,3290.31
21.5,Female,Single,24690.11,1467.95
27.1,Male,Single,30139.47,459.7
18,Male,Single,28456.97,174.39
38.3,Female,Married,43509.74,2616.79
22.4,Male,Single,35125.06,611.76
43.1,Female,Married,37428.39,2917.77
40.2,Female,Married,36016.23,3229.71
30.6,Female,Single,21688.84,1694.25
56.8,Male,Married,54861.63,2413.46
26.4,Female,Single,26139.26,1054.04
29.7,Female,Single,26189.59,2633.35
33.5,Male,Single,32136.96,641.59
28.6,Male,Single,30729.33,1005.11
21.3,Male,Single,29432.64,918.06
58.3,Male,Married,59490.46,3641.65
23.3,Male,Single,32367.76,532.86
34.7,Female,Single,23244.19,1557.63
24.9,Male,Single,26835.42,708.09
61.7,Male,Married,54479.97,3063.41
,Female,Single,29177.52,1816.3
23.8,Male,Single,26420.55,100
49.4,Male,Married,60690.05,3266.23
43.9,Female,Married,43353.53,4232.04
33.1,Female,Single,23713.05,1998.46
45.3,Female,Married,34536.3,2695.88
66,Male,Married,54452.61,3215.45
44.4,Female,Married,35092.57,2734.41
29.1,Male,Single,28787.12,1093.05
35.5,Female,Single,18704.11,2886.13
53.2,Male,Married,52461.4,3032.01
38.6,Female,Married,40452.05,2533.82
27.7,Male,Single,32585.22,662.47
55.3,Male,Married,51427.86,2760.26
59.3,Male,Married,58543.63,3686.68
31.8,Female,Single,22842.72,1696.02
50.8,Female,Married,42600.18,3044.37
25,Female,Single,22219.36,2315.76
24.5,Male,Single,32437.32,729.23
65.3,Male,Married,61211.33,2548.86
27.3,Male,Single,26012.88,100
29.7,Female,Single,23043,1992.39
34.5,Female,Single,22146.62,1927.26
25.6,Male,Single,28898.94,601.22
28.3,Female,Single,26558.51,3237.69
31.2,Female,Single,26707.58,2456.63
55.6,Male,Married,50456.21,3070.28
25.8,Male,Single,25948.28,912.18
38.6,Female,Single,24736.25,934.39
25.7,Male,Single,29496.96,1207.29
60.3,Male,Married,59677.91,3201.76
46.7,Female,Married,27968.71,3677.32
54.3,Female,Married,39611.87,2838.01
60.7,Male,Married,63688.14,2447.59
58.5,Male,Married,59720.35,3440.5
51.9,Female,Married,40038.27,3155.64
39,Female,Married,41028.18,3093.61
24.6,Male,Single,28399.1,1062.04
30.6,Male,Single,31956.55,738.34
33.2,Female,Single,24575.19,2389.79
70.8,Male,Married,54987.21,3012.43
25.9,Female,Single,24021.59,2336.99
29.6,Female,Married,38488.29,2931.33
19.2,Male,Single,34744.68,100
59.1,Male,Married,51471.15,3891.87
33.2,Female,Single,24629.76,1568.53
58.1,Male,Married,57705.37,3847.03
28.5,Female,Single,24276.72,2834.75
43.5,Female,Married,42033.47,3941.5
20.7,Male,Single,31005.32,670.24
27.9,Male,Single,24250.06,365.5
65.1,Male,Married,60594.97,2770.54
18.6,Female,Single,22695.78,2178.68
35.3,Male,Married,48253.92,3444.66
32.2,Female,Single,28948.53,2438.98
59.6,Male,Married,56341.19,3308.88
52.4,Female,Married,41809.84,3988.16
54.4,Female,Married,40271.04,2173.45
66.7,Male,Married,59913.63,2685.65
34.5,Female,Single,21908.84,1595.23
24.2,Male,Single,32279.8,245.85
28.8,Female,Single,19924.55,1692.74
22.9,Female,Single,23582.85,2225.35
21.8,Male,Single,30998.68,
26,Male,Single,32755.29,1061.69
59,Female,Married,42174.21,2630.49
48.2,Female,Married,34767.12,3221.14
30.1,Female,Single,24297.35,375.2
51.5,Female,Married,48205.41,3172.73
57.8,Female,Married,36082.74,3243.5
78.7,Male,Married,60535.9,2809.26
62.4,Male,Married,58799.92,2749.18
25.5,Male,Single,32076.89,1144.98
60.7,Male,Married,44981.87,2519.4
69.9,Male,Married,59676.19,3366.06
55.9,Female,Married,33487.42,3869.52
48.3,Male,Married,61512.93,3432.72
61.1,Male,Married,52326.65,3069
32.7,Female,Single,25317.1,2714.41
58.5,Female,Married,38282.49,3109.89
52.1,Female,Married,38548.68,2238.53
70.2,Male,Married,57644.22,3162.34
28,Female,Single,20823.33,2682.18
21.6,Female,Single,22182.86,2552.93
55.5,Male,Married,46409.58,3010.64
48.1,Female,Married,43612.6,2451.65
47.3,Female,Married,30958.1,2156.54
46.4,Female,Married,47233.67,3163.89
41.3,Female,Married,33960,3388.14
46.8,Female,Married,32986.66,1983.66
42.3,Female,Married,41719.21,2652.43
61.4,Male,Married,49963.48,3444.68
48.9,Female,Married,46217.16,2982.08
23.6,Male,Single,31134.19,876.97
35.1,Female,Single,23329.11,991.13
49,Female,Married,45995.64,3341.65
53.5,Male,Married,53013.45,2731.31
49.8,Female,Married,28054.89,2958.08
34.5,Female,Single,20772.16,2171.56
48.1,Male,Married,57221.73,2794.14
31.9,Female,Single,26662.36,1860.88
58.5,Male,Married,52681.24,3076.74
32.6,Female,Married,,2137.49
47.5,Female,Married,43423.57,1542.48
76.9,Male,Married,57515.7,3669.59
61.5,Female,Married,50267.93,3446.98
23.6,Male,Single,25273.36,100
62.9,Male,Married,49419.08,2961.13
51.8,Male,Married,51915.38,3390.63
40.1,Female,Married,38329.25,3391.67
51.8,Male,Married,59833.87,3466.4
55.7,Male,Married,51436.18,3654.94
24.9,Male,Single,30019.78,1088.24
28.2,Female,Single,21408.87,1085
36.2,Female,Married,49296.48,3520.96
27.2,Male,Single,22565,459.47
23.5,Female,Single,28086.52,2475.02
62.1,Male,Married,55879.28,2694.31
51.6,Male,Married,58308.46,3317.54
53.5,Female,Married,33245.82,3288.82
44.4,Male,Married,44504.55,2870.84
18.8,Male,Single,24744.42,100
21.8,Male,Single,30637.51,390.72
55.1,Male,Married,62071.54,3926.31
64,Male,Married,47095.56,3065.97
54.2,Female,Married,41491.31,3514.85
51.9,Female,Married,34808.12,2020.86
47.8,Male,Married,55791.39,3095.57
32.5,Female,Single,24365.18,1343.86
67.9,Female,Married,41886.76,3027.33
48.5,Female,Married,37488.92,3993.87
18,Male,Single,32833.41,100
68.2,Male,Married,53537.44,3731.32
41.5,Female,Married,42202.84,2715.99
23.8,Male,Single,29044.25,405.89
21.1,Female,Single,24029.54,2671.84
34,Female,Single,18170.79,2109.26
26.5,Female,Single,22889.16,1821.6
26.5,Male,Single,31761.93,797.95
45.9,Female,Married,33822.45,2484.56
51.1,Female,Married,36466.92,2653.66
56.7,Male,Married,50809.2,3824.57
33.5,Female,Single,23647.24,591.08
53.3,Male,Married,62735.84,3456.63
22,Male,Single,27212.26,894.47
18,Female,Single,25253.38,2567.85
34.7,Male,Married,54723.06,
19.8,Female,Single,25814.23,2030.96
24.7,Male,Single,30606.36,1009.91
55.5,Male,Married,62913.17,3288.08
33.4,Male,Single,31565.94,100
29.7,Female,Single,19335.12,1003.29
21.4,Female,Single,24747.81,1772.81
42.4,Female,Married,43763.17,3533.15
21.2,Male,Single,32230.03,692.2
43,Female,Married,39372.31,3637.29
20.5,Male,Single,29296.56,1063.31
29,Female,Single,22211.9,1333.73
44,Female,Married,34802.26,2720.18
22.4,Male,Single,28136.18,903.77
53,Male,Married,57328.44,3303.58
65.6,Male,Married,55237.11,3282.01
32.4,Female,Single,22757.04,1935.58
22.7,Male,Single,31109.62,100
26.2,Female,Single,26492.74,1709.73
25.9,Male,Single,20699.54,278.66
22.1,Female,Single,25359.84,1179.22
33,Female,Single,27207.74,2763.48
49.9,Female,Married,42408.65,3338.37
29.2,Male,Single,31022.55,468.77
62.3,Male,Married,47579.86,3198.84
34.5,Female,Single,26265.12,3560.53
26.9,Male,Single,32551.94,236.12
26.3,Female,Single,25829.28,1396.11
31.2,Female,Single,21011.11,2706.66
,Male,Married,52896.33,3253.7
49.5,Female,Married,34282.54,3562.59
26.8,Male,Single,29318.08,202.65
42.7,Female,Married,38130.13,2728.23
29.8,Male,Single,33683.11,647.14
51.7,Female,Married,43793.58,2742.47
30.1,Female,Single,20246.33,2316.19
53.2,Female,Married,38499.78,2133.98
53,Male,Married,58109.34,2806.47
26.7,Female,Single,22520.46,2541.16
50.4,Male,Married,62475.38,2465.4
20.4,Male,Single,33631.41,149.02
32.2,Female,Single,23492.63,1866.18
26.3,Male,Single,28148.46,1044.03
23.4,Male,Single,29719.83,1112.24
64.5,Female,Married,37975.52,3126.86
23.5,Male,Single,23845.78,100
54.6,Male,Married,51658.06,3257.44
51,Male,Married,53567.43,2866.21
29.3,Female,Single,21876.18,2616.51
27.3,Female,Single,27748.55,1143.4
24.4,Female,Single,23170.34,1914.18
24.6,Female,Single,27170.92,2077.42
30.3,Female,Single,20873.3,1866.1
25,Male,Single,27420.27,1093.97
25.3,Male,Single,41209.67,100
56.9,Male,Married,50073.31,3439.21
50.7,Male,Married,49926.59,3817.27
28.9,Female,Single,22825.7,1874.43
49.9,Female,Married,30960.29,2700.49
75.6,Male,Married,62127.83,3214.42
54.9,Female,Married,36166.89,2495.01
41.9,Male,Married,54226.2,2636.69
43.2,Female,Married,36663.05,4139.85
59.6,Male,Married,64303.58,3503.57
70,Male,Married,45139.32,2859.38
24.4,Female,Single,27242.99,2522.39
53.4,Male,Married,58197.85,2905.16
18,Male,Single,29280.25,956.4
22.6,Male,Single,27674.79,100
79,Male,Married,50520.51,3161.05
50.6,Female,Married,30974.61,2612.53
30,Female,Single,22268.57,1677.44
56,Female,Married,37541.32,2530.63
57,Male,Married,67212.31,3308.77
27,Male,Single,33553.31,434.61
49.1,Male,Married,53644.86,3691.89
57.3,Female,Married,43943.97,2676.23
22.4,Female,Single,26284.94,1032.61
46.9,Female,Married,42090.33,2073
28.3,Male,Single,26784.14,1108.28
53.6,Male,Married,58452.35,3234.2
65.4,Male,Married,57669.45,3025.87
53.9,Female,Married,38616.32,2929.99
18,Male,Single,32887.2,100
23.5,Male,Single,29600.26,581.54
18,Male,Single,27374.69,803.63
38.9,Female,Married,36203.09,3058.77
20.1,Male,Single,29416.38,100
23.2,Female,Single,20777.13,2626.46
28.1,Male,Single,26458.57,837.57
20.6,Male,Single,29592.97,100
74.6,Male,Married,54056,3684.91
40.9,Female,Married,40552.21,2438.55
54.3,Male,Married,57521.19,2554.24
23.9,Male,Single,33539.05,106.51
28.6,Male,Single,28174.65,975.13
26.6,Male,Single,25578.21,100
60.7,Male,Married,53324.49,2238.72
22.1,Female,Single,25426.41,1707.48
27.3,Male,Single,31513.27,100
52.4,Male,Married,61158.59,2528.1
18.9,Male,Single,31291.03,779.91
31.1,Female,Single,28067.15,1144.87
48.8,Female,Married,37085.61,1314.77
28.5,Male,Single,27381.69,241
19.9,Female,Single,18518.52,3224.05
45,Male,Married,58097.97,2412.81
20.8,Male,Single,28779.52,100
20.4,Male,Single,30464.39,419.77
27.3,Female,Single,19031.11,2327.65
18,Male,Single,31865.72,586.12
43.5,Female,Married,37203.96,2692.6
27.5,Male,Single,31534.45,1187.24
44.4,Male,Married,63208.01,3476.66
18.4,Male,Single,27736.1,100
55.8,Female,Married,40228.31,3132.22
54.5,Female,Married,28997.53,3094.65
28.6,Female,Single,18289.95,1783.49
35.6,Female,Single,22218.14,2363.95
22.6,Female,Single,27811.53,
26.3,Female,Single,26443.75,2866.06
26.1,Female,Single,27366.65,1082.86
33,Female,Married,35627.3,3535.91
58.7,Male,Married,58188.04,3370.6
28.5,Male,Single,29166.79,100
25.6,Male,Single,30272.37,444.59
46.3,Female,Married,43569.19,2131.65
27.1,Female,Single,21219.22,2009.01
18,Male,Single,32273.89,641.66
19.8,Male,Single,30832.63,862.63
40,Female,Married,33136.42,2459.8
39.7,Male,Married,53515.15,3448.75
40.5,Female,Married,46117.14,1682.75
64.8,Male,Married,59734.52,3070.37
31,Male,Single,32976.24,495.05
54.9,Female,Married,44215.68,2938.78
53.6,Male,Married,52890.17,3675.03
51.5,Male,Married,67648.15,2780.67
48.6,Female,Married,43330.98,2624.57
18.1,Male,Single,29589.88,266.01
20.6,Male,Single,35263.32,1170.16
61.2,Female,Married,50549.98,1927.7
25.6,Female,Single,24215.58,1958.63
23.5,Male,Single,28658.86,100
24.6,Male,Single,26353,389.83
27.3,Male,Single,25490.78,703.95
26.6,Female,Single,19392.76,2285.4
71.7,Male,Married,48140.5,3732.94
26.2,Male,Single,29853.14,1037.82
58.8,Female,Married,38598.37,3048.58
60.6,Male,Married,54759.84,3330.5
24.7,Female,Single,23886.84,2014.72
27.6,Female,Single,23675.56,3001.26
19,Female,Single,23628.24,1858
24.7,Male,Single,26838.93,593.71
21.5,Male,Single,27637.39,836.37
56.2,Female,Married,35373.26,2974.62
22.1,Female,Single,,2003.47
33.9,Female,Single,23435.44,1511.24
30.4,Male,Single,32050.71,1153.36
19.7,Male,Single,28015.95,100
18,Male,Single,33560.37,100
33.8,Female,Single,20447.57,1345.38
54.4,Female,Married,43096.68,3270.04
56.1,Female,Married,33190.23,2728.13
27.9,Female,Single,23904.97,2802.43
25.5,Male,Single,29970.71,427.32
57.7,Female,Married,42339.4,2974.23
18,Female,Married,39491.51,2993.13
20.3,Female,Single,21451.96,2246.45
46.9,Female,Married,41628.77,2229.99
27.9,Male,Single,27694.4,195.69
21.4,Female,Single,27527.16,1943.21
51.2,Female,Married,44558.32,2511.36
27.3,Female,Single,21488.91,2769.79
29,Male,Single,25912.66,538.82
24.4,Male,Single,27068.25,787.52
57.4,Male,Married,54519.33,4147.26
25.7,Female,Single,20095.24,1715.7
48.3,Female,Married,30686.84,3637.82
32.5,Male,Single,33196.59,587.14
54.4,Male,Married,59307.9,3197.78
52.9,Male,Married,57535.69,2969.66
59.1,Female,Married,46395.53,3922.73
24.3,Male,Single,31177.04,325.74
46.6,Female,Married,41703.61,3844.36
25.4,Male,Single,32636.05,2155.17
63.4,Male,Married,58212.15,2881.97
25.2,Male,Single,27498.89,214.67
22.2,Male,Single,33970.8,100
48.1,Female,Married,39881.06,3048.28
29.1,Male,Single,29960.87,100
30.2,Female,Single,23567.64,2587.29
50.8,Female,Married,35413.52,1953.47
54.1,Male,Married,54278.54,3510.8
64.1,Male,Married,50884.58,3018.5
50,Female,Married,35926.92,3111.36
53,Male,Married,50758.69,3916.33
58.7,Male,Married,59589.44,3583.92
46.3,Female,Married,46479.35,3445.35
31.8,Female,Single,21891.24,2518.14
24.8,Male,Single,33193.41,1558.75
33.1,Female,Single,23655.74,1956.76
44.3,Male,Married,51095.99,3309.65
25.6,Male,Single,26677.22,189.97
57.2,Female,Married,38386.99,2717.35
46.1,Female,Married,42564.77,2862.5
56.4,Female,Married,38366.67,3434.08
50.6,Male,Married,53977.72,3613.17
24.5,Female,Single,19958.55,2447.67
34.7,Female,Single,28960.93,3866.28
22.1,Male,Single,26328.25,858
20.2,Male,Single,28163.49,
39.1,Female,Single,28677.07,2094.31
20.5,Male,Single,32356.22,1054.56
51.8,Male,Married,49972.43,2827.42
26.6,Female,Single,25645.94,2042.54
63,Male,Married,51394,2799.61
54.7,Male,Married,54328.32,2601.04
30.3,Female,Single,20735.15,2280.2
68.8,Male,Married,54131.18,3135.68
29.8,Female,Single,32948.47,2267.63
50.4,Female,Married,43264.56,1034.58
60.7,Male,Married,56068.97,2521.94
21.6,Male,Single,34009.06,804.03
45,Female,Married,31919.96,2590.56
37,Female,Married,32521.48,3042.91
61.6,Male,Married,61355.71,3413.03
26.5,Female,Single,23337.12,2078.2
50.4,Female,Married,40266.97,3149.32
31,Male,Single,32675.24,779.84
24.7,Female,Single,22529.49,1988.66
46.4,Female,Married,31329.83,2776.05
35.6,Female,Married,31475.05,3396.86
48.9,Female,Married,36922.97,2231.7
30.2,Female,Single,22128.26,1923.57
68,Male,Married,66299.57,3739.04
28.6,Male,Single,31885.18,1264.46
24.4,Male,Single,28547.65,381.57
24.3,Male,Single,29936.83,1287.83
31.7,Female,Single,19371.34,3299.87
57.4,Male,Married,50518.78,2373.67
35.5,Male,Single,28276.45,877.94
25.4,Male,Single,27230.73,427
26.2,Female,Single,18531.83,1963.15
52.2,Male,Married,47243.22,3554.16
23.8,Male,Single,26554.8,100
62,Male,Married,58687.83,3344.8
28.9,Male,Single,28467.2,1373.67
19.5,Male,Single,36065.12,674.19
56.4,Female,Married,44568.56,3426.66
51.7,Male,Married,49071.59,2908.05
57.1,Male,Married,58149.78,3760.96
60.6,Male,Married,60309.66,3096.94
40.6,Female,Married,39603.02,1433.89
65,Female,Married,38176.33,2888.58
43,Female,Married,45819.02,3049.65
32.1,Female,Single,26291.77,2160.34
60.2,Male,Married,59662.33,3826.3
29.9,Female,Single,21763.05,2535.22
24.7,Female,Single,22639.71,2227.01
56,Male,Married,57218.23,2268.54
30,Female,Single,24156.77,2308.37
71.2,Male,Married,53797.2,3071.56
32.1,Female,Single,22683.32,1538.12
47.7,Male,Married,51019.85,3131.21
24.8,Male,Single,26293.06,778.58
61.1,Female,Married,44019.04,2329.13
65.3,Male,Married,60922.01,2926.33
24.4,Male,Single,28499.24,879.14
24.7,Female,Single,21493.89,1496.11
34.5,Female,Single,22630.92,1939.88
25.6,Male,Single,29582.49,1485.01
26.6,Female,Single,26178.76,1234.67
43.5,Female,Married,45082.5,1904.93
55.4,Male,Married,48045.48,3080.13
52.8,Female,Married,30899.28,2349.2
57.6,Female,Married,45399.22,2113.33
41.8,Male,Married,56146.44,2992.98
45.3,Female,Married,43796.85,2730.64
29.5,Male,Single,32619.68,100
30.7,Female,Single,20630.29,2963.43
28.2,Male,Single,30199.12,901.95
26.6,Female,Single,24350.71,1792.31
63.4,Male,Married,47721.84,2204.88
25.4,Female,Single,21438.32,2440.57
32,Female,Single,22175.32,1546.37
60,Female,Married,31902.59,2431.55
55.9,Male,Married,55707.85,3839.64
53.5,Male,Married,56350.83,2802.01
21.7,Male,Single,30372.9,790.95
18,Male,Single,35980.87,491.32
47.2,Male,Married,61441.09,3706.26
27.6,Female,Single,27400.43,1848.68
,Female,Single,27234.58,2372.63
32.4,Female,Single,26315.08,1120.11
18,Male,Single,23251.32,380.69
48,Female,Married,40420.3,2092.68
46.1,Female,Married,30750.49,2802.01
53.8,Female,Married,46065.85,2850.56
60.5,Female,Married,35615.27,2654.74
32.7,Female,Single,25770.81,2054.8
29.2,Male,Single,34103.48,518.31
27.9,Female,Single,26681.71,2309.43
22.6,Female,Single,22779.64,2138.84
39.9,Female,Married,31871.98,2753.01
26.9,Male,Single,29635.4,886.69
30,Male,Single,23847.84,258.35
19.8,Male,Single,31211.97,938.21
41,Female,Married,34067.66,3326.21
57.4,Male,Married,54468.3,2510.97
24.7,Male,Single,31664.83,100
54,Female,Married,34154.4,3272.55
32.7,Female,Single,24712.92,2767.98
73.6,Male,Married,51441.75,3743.98
22.5,Male,Single,30855,100
51,Female,Married,32295.42,3210.88
48.3,Female,Married,39746.44,3562.8
25.1,Male,Single,26170.2,704.11
31.7,Female,Single,21548.23,1458.29
33.1,Female,Single,19664.11,1962.44
75.1,Male,Married,55191.2,3201.48
61.3,Female,Married,31098.87,3428.24
47.3,Male,Married,57276.74,4093.6
53.3,Female,Married,28903.98,2892.26
41.4,Female,Married,42549.93,3335.45
32.6,Female,Single,27760.18,1742.81
28.1,Female,Single,22960.66,1837.01
39,Female,Single,21628.63,2545.57
31.2,Female,Single,23345.67,2511.05
65.9,Male,Married,55803.93,2321.34
42.3,Female,Married,37639.33,2722.34
59,Male,Married,58392.3,2500.88
46.3,Female,Married,33902.84,3047.5
34.1,Female,Single,25194.09,2635.68
34.1,Female,Single,24129.75,2134.51
29.1,Female,Single,19790.66,2019.77
62.8,Male,Married,55816.4,2899.33
62.4,Male,Married,51844.23,3650.78
18.6,Female,Single,22151.3,2424.73
27.6,Male,Single,30178.45,578.33
61.9,Female,Married,39885.22,2383.93
31.1,Female,Single,25576.03,2202.8
59.3,Male,Married,52096.45,2412.09
60.6,Male,Married,51421.64,2801.3
71.6,Male,Married,54684.66,3252.83
52.7,Male,Married,46836.68,3869.1
59.1,Male,Married,54115.11,3003.65
24.6,Female,Single,23886.71,3113.85
28.3,Female,Single,22646.42,1626.86
29.7,Male,Single,29003.64,234.74
29.1,Female,Single,23708.68,3312.23
22.3,Male,Single,35871.62,331
25.4,Male,Single,28727.01,1517.35
63.4,Male,Married,60880.7,3743.75
54.3,Male,Married,53628.45,2457.05
31.3,Male,Single,29728.19,1006.98
30.1,Male,Single,25537.45,1015.81
23.8,Male,Single,25423.38,100
53.9,Male,Married,58198.02,3235.67
74.5,Male,Married,54573.82,3154.72
30.8,Male,Single,27169.18,160.09
47.2,Male,Married,60329.73,4102.37
52.8,Female,Married,43521.71,3006.12
53.6,Female,Married,34922.64,
54.6,Female,Married,36164.95,3456.51
55.3,Female,Married,33616.52,3365.13
67.7,Male,Married,56090.13,2891.1
52.4,Female,Married,33248.9,2802.64
50.4,Female,Married,39088.78,3414.97
64.6,Male,Married,46703.35,2473.91
20.4,Female,Single,21230.55,1662.96
26.2,Male,Single,34755.09,1030.05
23.1,Male,Single,37552.79,624.82
24.5,Female,Single,25692.95,2286.13
27,Male,Single,30346.3,100
46.3,Female,Married,30981.5,3736.66
33.4,Female,Single,26577.82,1572.75
69.2,Male,Married,54065.22,3268.25
63.7,Female,Married,37318.94,2422.71
24.2,Male,Single,30603.16,100
27.5,Male,Single,31552.4,612.06
59,Male,Married,64170.78,2313.15
70.4,Male,Married,55075.92,3048.81
26.6,Male,Single,31532.92,411.95
44.6,Female,Married,35781.23,2251.2
56.2,Male,Married,45685.96,3722.77
51.9,Male,Married,67853.23,3749.18
21.5,Male,Single,31929.51,100
21.7,Male,Single,27121.93,100
22.9,Male,Single,33188.87,100
71.1,Male,Married,57173.24,3025.02
30.6,Female,Married,40698.9,2370.53
25.8,Male,Single,29214.77,100
55.9,Male,Married,46307.79,3272.6
30,Female,Single,21348.77,2241.62
33.6,Female,Single,18277.99,2223.05
35.4,Female,Married,32591.29,2637.95
48.3,Female,Married,40706.87,2645.96
28.7,Female,Single,26086.89,996.98
49.5,Female,Married,38724.14,3029.9
25.7,Female,Single,26835.33,1685.07
48.7,Male,Married,51196.46,3061.69
57.5,Male,Married,66827.32,3543.4
27.7,Male,Single,33264.44,263.25
63.7,Male,Married,50186,3527.53
24.2,Female,Single,25732.34,2429.11
22.7,Male,Single,28412.69,365.91
25.5,Male,Single,29572.52,103.43
52.4,Male,Married,63815.26,4001.92
20.4,Male,Single,27883.23,636.4
71.2,Male,Married,58460.29,2811.29
23.3,Male,Single,30946.53,100
21.8,Male,Single,32273.86,566.48
66.6,Male,Married,56904.9,2926.25
48.7,Female,Married,44023.84,3587.57
42.4,Female,Married,39923.47,3501.29
29.7,Female,Single,26244.57,2947.81
19.6,Male,Single,29845.43,803.22
27.3,Male,Single,31526.39,100
37,Female,Married,37745.89,3324.28
30.2,Female,Single,19985.28,2646.11
23.3,Male,Single,32413.13,786.84
25.3,Female,Single,19133.44,2432.03
24,Male,Single,23786.45,618.56
62.1,Male,Married,58216.9,3731.82
51.9,Male,Married,52656.44,3260.54
50.8,Male,Married,55535.69,2949.75
18,Male,Single,27506.64,510.76
37.2,Female,Single,20879.4,1835.94
26.7,Male,Single,32226.3,365.75
,Female,Single,24650.12,2063
62.5,Female,Married,39558,2608.61
41,Female,Married,39153.63,3930.24
41.1,Female,Married,39038.06,2808.5
34.1,Female,Married,39792.57,2429.39
50.3,Male,Married,62016,3142.95
27.3,Male,Single,36097.99,1382.21
64.5,Male,Married,61327.04,2588.43
41.1,Female,Married,32715.95,2381.59
45.7,Female,Married,40149.52,4175.93
24.5,Female,Single,27371.68,1609.49
64.3,Female,Married,43542.59,2304.11
23.8,Male,Single,26741.98,100
21.3,Male,Single,30044.5,100
57,Male,Married,61651.19,3822.83
29.4,Female,Single,22774,2508.12
42.7,Female,Married,43535.14,2499.1
47,Female,Married,26437.18,2237.19
24.7,Male,Single,29300.3,736.07
64.9,Male,Married,57072.75,2922.51
50.6,Female,Married,45849.32,3089.83
49.4,Female,Married,41185.98,2520.65
24.5,Female,Single,19941.25,1663.84
59.1,Male,Married,54588.22,2541.63
18.8,Male,Single,31496.99,1507.06
26.7,Female,Single,29777.01,2633.64
22.1,Male,Single,28272.38,698.45
26.7,Female,Single,22025.8,2175.2
42,Female,Married,44956.43,2232.98
53.2,Male,Married,59373.72,3093.22
30.9,Female,Single,29923.68,2132.97
65,Male,Married,58181.51,2859.42
28.8,Female,Single,26661.76,2191.5
30,Female,Single,25847.27,722.01
31.2,Male,Single,30270.57,114.81
68.5,Male,Married,51904.63,2955.6
70.9,Male,Married,56290.5,3384.67
37.3,Male,Married,51168.36,2795.01
53.2,Female,Married,45115.37,2104.66
29.6,Male,Single,27727.11,648.42
23.9,Male,Single,35595.86,103.22
55,Male,Married,54514.6,2793.92
51.8,Female,Married,25376.43,3363.12
58.4,Male,Married,58814.22,3434.17
