Narcissus,Agrumen,Oud,Jasmine,Amber,Neroli,Indole,Vanilla,Frankincense,Bergamot,Galbanum,Magnolia,Sandalwood,Cashmeran,Citron,Opopanax,Aliphatic Aldehydes,Vetiver,Scent Quality Score
478.54,299.119,642.767,251.048,1160.555,992.257,937.415,496.342,378.543,2406.24158,130.302,825.851,871.814,4747.691495,199.861,46.002,661.114,836.89,9959760.302
492.166,332.622,691.469,218.183,1011.609,799.775,967.644,608.11,377.658,2087.899956,341.297,734.082,1061.029,5207.394761,246.051,112.783,735.772,789.252,11597173.01
488.694,278.646,701.35,296.679,1081.809,943.263,1000.147,560.737,326.191,2688.390909,365.438,804.364,1019.306,5292.981842,123.401,71.821,708.081,787.375,12904501.34
520.237,355.281,683.827,186.834,1081.823,885.566,843.496,495.806,409.498,2029.949213,293.632,920.86,813.128,5253.8225,239.459,132.833,511.796,795.589,7625691.217
462.069,267.883,670.775,278.103,852.399,761.015,1023.927,510.58,419.222,2605.357313,319.833,713.169,824.05,5117.45983,155.934,178.052,864.684,843.85,13412402.79
476.361,366.581,622.691,360.052,1048.859,868.667,924.66,577.555,338.587,3423.437418,266.186,639.253,913.309,4632.739503,122.976,97.523,684.885,838.129,15770356.08
485.11,329.903,634.91,164.043,1095.469,829.925,949.613,553.154,318.474,1634.838948,288.203,702.741,859.96,4955.659208,108.296,256.037,723.701,739.834,8744224.864
499.703,352.804,691.202,261.742,916.976,924.905,980.4,569.544,384.405,2664.602606,335.965,790.631,817.307,5237.307419,133.126,123.798,623.705,820.014,11751300.14
493.231,340.814,664.869,118.677,1002.136,957.743,995.417,604.35,498.235,1614.968858,236.423,689.369,907.337,5229.067663,33.097,104.144,503.349,762.045,7059982.286
450.854,298.892,714.791,216.74,983.212,830.179,1095.515,568.758,396.323,2112.275177,278.017,733.873,829.088,5447.498916,111.856,17.96,612.415,804.602,9313028.531
490.981,304.926,627.35,153.088,1007.67,824.77,988.91,491.323,474.225,1765.806898,293.932,795.319,710.685,4913.839327,227.648,72.494,714.264,824.196,8348640.09
443.907,217.416,730.939,326.453,992.822,1022.097,862.267,531.322,375.424,3005.569591,249.597,783.354,883.649,5566.687223,127.284,181.574,645.273,806.993,12092994.79
487.886,404.863,665.524,123.531,1042.783,923.561,940.17,506.332,268.07,1561.172469,252.009,636.256,834.34,5167.467861,162.856,116.33,619.459,778.447,7180464.753
444.21,303.373,647.703,265.886,890.354,1040.08,1072.204,488.007,411.844,2621.227452,202.207,898.745,781.357,4737.301093,160.518,40.865,819.436,853.297,12362960.69
426.942,358.724,707.103,116.359,905.327,792.576,971.459,632.347,505.264,1540.886103,468.138,801.933,859.528,5305.682743,78.887,132.734,847.156,807.365,10363224.63
481.159,342.91,654.034,277.76,971.502,762.742,1009.386,528.928,320.647,2710.764654,212.531,771.733,898.281,4970.454801,58.262,67.587,863.589,737.615,14499219.03
440.637,394.444,684.286,226.022,1071.811,972.072,931.25,477.894,364.022,2130.008664,303.363,587.045,825.009,5216.681322,86.806,165.694,645.257,757.602,8715257.587
467.673,370.975,650.701,270.262,939.031,791.572,1084.921,560.657,289.374,2611.883375,189.297,715.889,859.553,4984.978552,66.507,170.648,755.175,824.047,13123513.38
519.688,316.291,622.247,146.651,1075.323,940.782,1028.939,510.1,454.497,1708.49438,249.489,716.601,932.382,4703.079292,97.305,199.402,635.851,831.764,7816057.658
490.522,360.208,653.345,189.499,966.066,865.359,945.951,491.686,397.248,2171.372293,207.688,811.437,951.265,5003.597219,22.519,65.964,780.184,782.413,10507658.5
443.592,287.437,630.967,244.624,1009.309,835.466,950.22,615.123,379.722,2374.708594,253.026,589.364,947.529,4675.816876,221.137,60.945,597.885,845.411,10592157.45
482.372,397.909,717.561,234.272,1030.611,946.44,945.248,574.271,389.696,2468.481643,275.611,725.702,788.367,5481.995817,146.609,271.029,620.913,809.813,11120869.12
484.381,323.598,659.76,193.258,1007.417,967.856,842.779,728.764,356.9,2092.839005,253.31,788.625,936.354,5215.229765,78.794,213.957,674.438,786.231,12424695.8
464.95,357.272,621.425,156.121,1168.295,903.149,980.401,491.254,386.911,1760.482611,169.911,836.986,949.162,4689.632109,133.083,47.792,754.214,757.001,8693781.264
443.481,372.636,635.595,285.158,1056.345,928.1,892.58,667.514,421.671,2647.984708,237.811,806.67,800.696,5002.512684,97.493,140.933,799.096,803.649,16256704.28
498.456,365.515,638.156,223.225,916.515,888.515,868.631,578.911,432.155,2351.150115,394.423,696.935,831.19,4846.768209,174.847,98.484,693.244,820.259,11730399.2
421.595,295.882,654.275,129.671,1179,791.298,857.451,687.716,390.081,1569.453151,313.573,734.839,1016.206,5104.361475,8.544,143.564,836.623,856.42,11001301.55
475.976,411.104,683.182,172.309,1024.985,841.58,1095.199,600.349,411.507,1954.81901,250.288,852.688,733.758,5293.18563,145.503,142.308,746.442,828.625,11085021.84
482.839,429.408,657.707,171.126,997.848,908.329,832.791,632.89,394.524,2064.749847,261.771,745.836,951.29,5017.325686,133.439,11.644,579.01,771.395,9891254.662
455.566,398.355,665.26,221.338,978.775,831.479,974.18,498.143,347.135,2232.721497,59.102,962.554,956.483,5284.342806,45.807,207.295,747.366,821.856,10332998.06
469.388,346.672,642.859,299.692,953.56,959.475,916.583,604.616,306.624,3009.810865,345.875,743.325,813.255,4901.48145,190.298,71.129,827.274,784.493,17227116.4
509.967,380.762,632.131,173.549,1119.655,825.217,1047.846,544.247,389.585,1928.716813,226.906,703.387,805.487,4960.900746,215.41,186.443,802.416,773.623,10821355.72
486.168,346.434,692.614,135.658,975.766,978.563,881.311,598.221,371.116,1649.42596,201.659,721.281,969.291,5167.141038,194.438,61.559,702.097,792.027,9021886.01
444.475,431.878,702.216,119.688,912.866,826.262,811.674,480.235,417.409,1519.738864,223.736,741.397,769.823,5305.467093,29.313,0,769.884,798.343,7685433.028
500.987,438.058,683.708,274.249,1024.086,970.181,839.438,646.343,228.32,2638.188253,179.803,707.513,787.62,5329.520829,200.443,138.546,495.306,758.35,10839885.28
462.054,394.94,676.242,238.643,1003.365,945.518,909.034,688.37,417.003,2481.148936,276.671,576.614,833.972,5311.645439,73.069,0,737.542,778.43,14758312.35
435.514,344.809,609.209,147.529,996.208,905.868,910.447,584.988,382.467,1745.043736,382.019,742.03,950.144,4705.375494,144.909,130.302,617.472,786.24,8367117.331
430.337,290.783,690.173,154.021,809.017,916.754,953.592,582.809,391.678,1933.430219,252.314,690.12,891.638,5204.92831,147.204,103.027,650.446,797.886,9052906.814
478.908,290.413,703.267,172.729,940.744,923.543,852.738,478.053,275.886,1971.414793,321.981,680.719,928.111,5365.711494,151.184,141.619,695.052,867.974,8574298.706
475.207,384.698,628.622,229.782,913.055,912.653,953.419,622.189,380.516,2366.764826,387.91,784.714,879.568,4870.201494,139.896,74.159,667.659,748.77,12098360.42
473.338,294.32,709.706,250.319,945.348,917.478,984.502,481.159,341.976,2430.745653,163.591,673.241,711.862,5230.039236,177.332,76.062,633.962,836.921,9325881.046
487.184,246.448,611.189,54.905,996.506,1011.307,923.951,542.503,328.547,1040.967143,186.749,722.898,823.743,4678.652909,200.229,111.455,729.654,741.114,5996097.786
497.875,229.514,681.064,229.011,1031.901,909.885,936.092,661.024,393.663,2203.178394,248.148,740.599,819.495,5322.887744,37.272,79.974,665.55,853.318,11687515.89
437.903,452.752,674.737,56.749,983.744,924.043,805.836,554.115,454.631,1027.189381,197.411,845.407,846.091,5188.482655,173.603,187.408,563.821,780.378,5345079.58
446.857,409.133,675.898,199.067,981.983,962.648,987.794,454.584,428.391,2060.307251,214.785,730.015,934.441,5179.566719,90.09,136.412,626.235,832.057,7973499.954
470.977,275.531,726.509,192.244,865.793,842.624,1066.178,532.582,414.985,1969.699591,309.266,902.808,853.17,5491.778779,164.351,134.209,555.641,842.738,7829542.773
453.96,368.377,644.211,240.061,944.477,794.959,983.253,514.564,414.351,2496.761588,282.446,725.935,667.026,4887.673241,201.237,173.125,793.431,768.005,12275265.42
476.675,402.264,675.75,239.709,1038.726,962.83,992.862,549.09,290.977,2307.347884,302.324,765.68,825.073,5173.320866,0,75.76,801.69,792.034,12491290.83
462.891,312.585,702.638,260.543,842.089,850.909,905.539,505.795,420.542,2483.574778,232.243,604.33,694.508,5205.546806,197.122,190.045,574.226,777.873,9090094.514
486.909,318.77,704.546,226.985,1082.612,892.428,857.873,600.555,334.204,2439.370011,227.45,879.623,903.668,5298.702771,246.463,56.544,691.286,833.756,12332546.55
491.319,337.752,685.42,209.976,1021.227,854.411,1052.956,655.317,330.169,2084.204212,63.958,580.622,967.617,5334.260601,28.142,40.157,710.35,856.271,11734886.57
466.346,206.471,740.214,170.784,1079.124,713.572,914.966,665.503,392.157,1882.157646,98.447,705.046,892.29,5567.506152,25.073,104.079,705.69,736.161,10551077.78
454.452,353.122,710.503,225.288,1005.59,788.62,1080.009,634.437,427.163,2203.261131,87.533,800.849,878.747,5423.602311,37.639,58.063,587.576,800.903,10167476.23
517.294,272.756,664.301,296.343,852.832,780.56,1041.356,460.252,414.809,2508.672924,226.37,909.583,736.703,5059.294516,220.17,153.485,791.823,779.98,11252021.85
440.417,294.781,611.853,262.606,1039.946,782.281,955.266,607.754,316.773,2547.611669,253.074,807.366,941.027,4764.762967,152.755,194.712,615.156,848.832,11474133.64
436.417,224.383,664.709,318.238,1028.203,868.541,933.099,588.313,450.316,2968.175535,282.165,881.827,868.537,5044.281748,153.052,38.811,608.504,805.933,12468359.1
485.622,433.762,690.413,121.633,951.621,885.732,960.525,405.496,345.055,1541.104266,184.096,822.79,608.14,5186.080206,117.827,26.993,685.42,835.027,6526608.117
512.22,344.764,683.086,175.823,969.994,882.779,971.147,563.984,384.291,1770.87293,152.307,872.124,800.14,5061.904165,58.152,177.641,606.689,793.044,8241377.713
467.243,268.129,671.43,36.579,956.417,853.341,964.046,484.17,410.888,988.8673508,292.271,707.232,837.628,5088.393331,242.304,0,927.127,775.826,6347614.27
463.948,370.511,682.717,131.516,921.336,861.846,968.435,591.585,389.338,1747.391721,263.84,680.355,1004.174,5184.994327,45.65,139.959,870.307,821.954,11059283.22
454.29,297.164,707.525,171.019,951.919,910.385,1018.4,547.317,441.697,1815.14389,358.858,869.169,860.031,5324.666707,178.851,51.837,657.888,826.989,8595457.297
463.963,418.363,701.463,185.846,989.611,845.027,1004.483,519.593,365.276,2040.198884,377.025,952.534,824.593,5292.510134,38.337,142.971,658.038,822.603,9385771.239
470.802,350.444,697.611,244.556,915.869,750.716,990.811,494.843,404.018,2377.486523,266.873,739.518,973.779,5327.907547,151.447,123.998,722.223,816.122,10585380.09
443.835,280.449,689.008,155.735,1033.851,926.353,994.156,674.35,293.889,1810.189603,143.281,721.637,845.704,5151.714826,153.603,63.649,729.314,760.923,10699532.24
476.779,243.806,666.234,221.204,1044.181,889.342,994.921,400.376,403.015,2336.693307,169.516,744.433,664.573,4905.797328,29.364,91.8,476.031,795.356,6334098.655
508.274,304.435,693.517,203.813,836.559,771.542,945.327,560.914,310.737,2154.806417,228.819,777.337,965.988,5324.279645,158.564,73.104,711.437,795.298,10664593.6
474.937,367.753,675.193,20.346,948.415,796.291,960.03,513.55,239.686,679.4719062,228.88,821.32,908.637,5181.526001,165.677,63.441,575.253,831.737,4095215.926
476.199,271.576,643.71,128.257,998.85,840.185,947.458,684.615,263.173,1545.779714,402.659,833.412,990.988,4920.161782,0,135.154,658.331,791.336,9080616.045
476.818,307.685,635.34,109.736,959.799,695.285,909.457,549.68,475.38,1493.769721,368.593,860.838,780.232,4815.238772,83.06,174.28,670.184,795.745,7647699.549
469.297,387.184,650.251,114.019,1025.579,856.886,897.917,526.781,301.48,1359.882316,230.512,693.181,886.873,4985.691798,182.232,164.821,568.377,810.04,6226044.319
435.659,283.275,633.452,347.719,962.508,903.181,952.468,578.196,375.805,3163.950863,265.689,766.101,893.862,4805.895312,177.93,99.524,701.846,770.738,14715616.25
445.644,326.161,638.988,146.221,1007.025,942.218,940.429,569.043,303.873,1765.242785,127.524,917.059,995.809,4866.653227,109.132,156.923,690.142,818.477,8838024.49
474.969,395.718,733.919,205.944,1028.452,969.318,939.656,592.572,403.552,2018.768201,350.82,893.016,868.045,5716.654469,93.465,170.022,589.533,797.284,9450581.292
455.959,261.217,647.604,147.425,967.452,1024.262,921.368,589.571,252.924,1877.92947,264.306,841.105,945.542,5111.01613,180.477,121.033,583.051,835.873,8350215.722
454.296,320.803,702.475,332.608,937.803,940.742,1098.328,570.309,426.87,3127.767168,257.583,726.472,815.998,5480.055672,160.665,87.509,561.07,807.626,12008480.78
468.266,347.131,718.942,269.464,993.845,906.202,1008.408,573.729,312.841,2686.64606,281.417,714.139,1022.991,5569.191459,69.767,152.874,763.589,776.401,13911721.49
502.922,309.025,695.597,225.157,988.374,891.437,784.157,412.264,339.091,2235.632182,325.23,660.184,1018.479,5161.680015,54.947,85.078,777.836,820.626,9345380.343
507.542,472.14,696.126,281.436,962.651,807.485,963.448,672.26,391.438,2626.220479,302.419,782.925,938.477,5272.228401,103.087,36.994,756.372,800.652,15906127.65
469.188,304.325,655.945,206.624,997.212,802.584,938.845,515.452,296.993,2168.355132,228.766,734.617,704.531,5008.748478,58.015,142.365,454.334,819.607,7070352.577
468.346,378.104,727.367,136.878,881.632,743.682,899.553,521.84,291.462,1617.603644,148.483,753.443,873.248,5456.369484,128.946,179.878,573.803,831.592,6830108.939
470.598,237.195,617.151,336.128,912.577,993.054,937.739,502.194,359.29,3082.474574,244.369,776.073,876.1,4917.577944,41.866,67.366,720.554,794.695,13025202.68
523.413,248.486,687.341,337.63,968.853,786.064,966.549,535.364,453.15,3122.691405,252.806,833.005,863.439,5138.384438,66.002,68.546,518.656,741.209,10829304.84
515.538,333.334,670.857,283.065,923.077,1039.757,1021.18,505.507,339.558,2483.969606,262.321,695.641,756.024,5031.954216,131.285,126.782,680.679,790.624,10763846.77
495.641,428.165,743.597,251.354,1069.195,956.687,930.662,498.932,317.818,2563.426925,322.234,784.482,931.052,5885.454821,67.789,116.747,592.182,767.042,10097813.94
490.135,394.258,701.041,209.225,1045.662,751.715,858.876,543.802,346.839,2112.971713,393.442,765.186,1015.026,5390.577135,72.985,100.43,720.669,822.271,10727386.89
476.069,386.253,665.896,111.38,1037.84,781.831,915.851,761.558,472.766,1319.573423,199.933,780.631,1025.858,5117.821916,126.837,120.141,735.797,834.916,9587512.702
457.803,330.447,649.998,275.395,907.225,899.103,931.078,701.979,290.486,2658.334214,280.557,693.49,842.077,5012.641556,314.72,124.564,624.034,779.795,13645268.44
501.143,381.998,731.477,352.246,892.929,1044.113,895.479,501.095,423.562,3122.134899,223.495,618.956,747.49,5635.222743,67.957,226.53,591.649,826.527,11462650.31
459.751,270.335,710.111,257.044,988.39,932.242,910.332,593.13,300.842,2620.611942,265.723,693.229,1025.483,5379.105093,15.814,212.029,822.949,793.959,14715094.24
477.062,311.812,650.708,204.542,903.665,867.165,1004.164,424.585,328.933,2208.386854,356.535,673.556,1004.422,5160.485393,156.94,110.083,629.478,772.967,7963675.925
463.46,434.64,689.992,175.72,1074.195,955.161,831.942,571.074,369.157,1978.320232,434.709,784.849,885.45,5168.516238,134.286,85.094,638.205,777.19,9698773.135
473.393,363.774,723.559,84.835,1051.551,965.176,959.32,481.608,430.113,1213.861218,197.939,883.795,820.858,5403.096021,91.639,38.828,734.656,837.941,6456297.349
457.374,348.734,767.214,242.418,1012.605,837.118,995.166,546.956,334.263,2365.405637,163.861,727.284,880.545,5857.500546,147.385,0,588.816,818.24,9638946.492
437.571,287.209,646.514,177.777,1046.356,1027.021,894.794,518.57,380.761,2030.512166,271.212,696.599,910.944,4983.232561,137.511,115.02,806.977,791.832,10393017.91
482.634,451.598,664.544,188.12,934.948,810.184,862.014,576.037,412.791,1740.816432,333.8,899.56,920.939,5074.347647,43.213,190.386,523.114,780.236,7664418.143
522.177,368.933,642.519,273.544,994.436,891.43,976.445,572.698,386.989,2768.265293,234.556,796.609,954.636,4990.840503,54.329,137.193,635.529,784.088,12452357.92
445.499,439.167,690.686,200.791,980.407,902.752,856.144,520.562,330.088,2196.804571,221.368,725.252,931.469,5342.378901,173.953,178.715,699.699,777.414,10169102.63
449.729,308.8,612.802,315.434,1020.543,939.753,914.03,494.338,253.212,2856.15186,277.778,895.094,840.545,4718.34526,119.662,127.45,767.857,792.88,12889710.27
466.056,362.207,718.754,194.345,1034.21,819.558,976.156,467.811,459.263,2307.864823,209.325,726.373,801.302,5547.534393,186.735,118.385,651.22,824.431,9154935.025
421.67,335.935,628.701,195.101,997.919,940.97,948.566,554.281,371.403,2141.170869,248.051,721.401,884.928,4829.12967,143.976,159.431,772.228,799.824,11071937.13
444.931,392.436,668.403,304.819,973.647,863.332,897.192,627.7,376.554,3091.950842,205.71,755.354,761.529,4984.710223,129.494,48.082,641.042,790.098,14521768.85
458.135,323.944,659.358,248.001,845.22,885.178,1040.848,666.491,414.07,2463.2977,268.84,618.292,1047.64,5212.200259,183.5,71.73,838.801,787.359,15692077.35
460.701,375.82,714.408,122.255,1062.187,933.727,992.758,692.583,381.816,1694.954784,292.906,702.717,901.553,5540.637027,34.703,74.503,561.53,811.906,8785801.85
467.756,238.854,632.573,157.691,805.68,914.584,913.401,526.044,356.265,1859.637167,261.844,769.292,1095.052,4853.875654,173.375,152.97,793.815,798.948,9566382.166
476.945,275.886,696.96,89.771,909.57,676.872,894.007,724.648,411.383,1625.476867,265.719,676.229,913.632,5225.228027,85.995,187.914,770.376,773.632,10998819.15
462.098,432.948,684.586,185.834,885.365,840.333,854.416,519.955,330.556,1913.581789,187.29,895.481,893.388,5185.493854,233.871,183.906,746.419,790.276,9564840.703
460.639,284.196,679.499,174.256,1059.856,975.013,1036.785,622.324,449.945,2137.930851,266.888,760.72,784.495,5348.106384,127.72,195.787,614.876,783.797,10194426.83
489.421,405.262,704.747,253.262,859.515,888.325,1048.75,662.802,402.004,2410.999156,230.44,886.031,794.201,5715.330993,130.502,149.739,606.71,783.662,11928929.62
460.173,299.674,681.103,83.736,808.83,922.514,830.831,637.584,508.485,1206.298933,252.141,794.227,890.261,5121.19695,242.445,137.037,465.606,840.46,5432583.119
459.576,347.773,620.036,142.005,1043.959,539.166,940.348,559.741,388.222,1737.017427,338.818,692.849,917.872,4761.015147,115.325,119.497,710.275,804.302,9039363.44
482.391,253.658,625.533,214.792,844.344,816.386,980.42,629.459,312.836,2190.400945,207.747,918.342,791.631,4876.39488,188.281,188.328,717.225,808.397,11785696.73
456.142,382.986,643.316,218.093,1045.121,816.641,975.727,519.193,281.892,2187.026977,245.476,837.549,962.378,4728.900186,114.018,96.434,714.932,799.024,10303629.71
431.955,288.664,670.507,76.188,1089.002,835.371,934.721,598.549,446.146,1306.116713,391.298,866.652,888.263,5181.876273,211.309,102.316,624.665,807.572,6936194.877
472.381,404.064,631.11,189.156,1087.469,900.263,1055.753,491.952,405.643,2028.316463,392.763,972.707,903.88,4816.017868,116.928,188.342,543.715,813.537,7938271.612
467.687,324.217,688.572,176.648,1000.171,797.493,847.919,585.465,333.255,1679.553204,192.855,701.907,784.554,5261.628827,182.253,156.376,690.59,787.748,8776159.382
451.568,237.309,753.611,35.989,991.621,883.542,971.498,604.021,321.641,954.7833849,238.097,765.643,851.516,5750.044294,41.37,29.073,725.567,826.267,5963558.026
480.694,346.088,639.391,73.214,883.091,874.471,1053.98,552.346,417.572,1278.426669,146.869,694.532,817.629,4920.350177,111.305,204.715,587.039,778.005,6100292.001
460.946,339.176,742.238,192.818,1005.473,978.053,977.448,585.899,399.297,1846.216022,270.381,720.751,909.805,5539.170523,183.9,66.852,754.354,802.304,10240996.45
472.27,353.641,642.867,203.93,1049.47,636.928,980.401,521.603,283.481,2071.057552,249.741,674.804,813.469,4814.19586,81.585,114.845,860.647,838.168,11441572.77
489.52,361.557,702.625,338.15,984.119,821.957,918.806,511.646,304.104,3137.067002,231.521,780.967,791.303,5341.90906,210.258,89.59,790.243,860.879,14920309
475.382,324.102,738.301,197.661,994.295,915.738,904.283,572.819,246.977,1994.597956,172.612,783.024,850.049,5650.649017,71.275,100.306,503.197,800.886,7768638.631
483.957,384.782,733.616,243.276,1096.247,878.723,895.167,522.119,527.057,2636.966384,161.663,605.692,1127.248,5541.356302,240.259,207.031,815.713,816.695,13483217.29
467.1,433.008,671.749,251.139,973.419,885.733,880.762,549.6,337.513,2486.038801,369.589,714.866,805.945,5084.882235,120.341,93.496,795.687,785.223,13222550.39
444.587,283.62,700.375,198.515,916.638,959.971,833.236,493.862,455.029,2049.173669,268.698,839.586,858.103,5367.446079,75.41,186.889,671.981,831.22,8680127.981
475.716,278.656,657.739,159.096,1003.507,870.091,1006.357,657.447,451.52,1852.617526,298.835,825.407,908.742,5024.302143,309.513,97.987,641.868,802.899,9881450.862
437.102,229.494,620.871,205.136,905.471,780.062,1029.901,541.032,344.297,2272.914007,309.746,790.698,844.09,4711.177975,7.215,71.524,684.99,812.578,10189231.04
489.079,340.427,652.579,85.297,962.18,901.643,820.221,556.138,276.653,1205.633527,311.339,774.519,830.322,5172.012346,125.447,127.609,705.022,833.827,6893864.295
